ident,type,name,latitude_deg,longitude_deg,municipality
00CA,small_airport,Goldstone (GTS) Airport,35.35474,-116.885329,Barstow
00CL,small_airport,Williams Ag Airport,39.427188,-121.763427,Biggs
00CN,heliport,Kitchen Creek Helibase Heliport,32.7273736,-116.4597417,Pine Valley
01CA,heliport,SCE Lugo Substation Heliport,34.368241,-117.370059,Hesperia
01CL,small_airport,Swansboro Country Airport,38.7999,-120.734001,Placerville
02CA,heliport,Swepi Beta Platform Ellen Heliport,33.58250045776367,-118.1289978,Huntington Beach
02CL,small_airport,Conover Air Lodge Airport,34.761101,-119.058998,Frazier Park
03CA,heliport,Grossmont Hospital Heliport,32.779484,-117.006952,La Mesa
04CA,small_airport,Gray Butte Field,34.566631,-117.670666,Palmdale
04CL,small_airport,Hunt's Sky Ranch Airport,33.08169937133789,-116.4410019,Julian
05CA,heliport,Lost Hills Sheriff's Station Heliport,34.136516,-118.714685,Calabasas
05CL,small_airport,Pope Valley Airport,38.6106987,-122.3909988,Pope Valley
06CA,heliport,SCE Solar I Heliport,34.868942,-116.832024,Daggett
06CL,heliport,ABC7-TV Heliport,34.15732,-118.2888,Glendale
07CL,small_airport,Richvale Airport,39.49769973754883,-121.7710037,Richvale
08CA,heliport,PG&E Placerville Service Center Heliport,38.695211,-120.826086,Placerville
08CL,small_airport,Kistler Ranch Airport,37.858272,-120.552079,Jamestown
08CN,heliport,Tulare Motor Sports #1 Heliport,36.172031,-119.306181,Tulare
09CA,heliport,Mee Memorial Hospital Heliport,36.205514,-121.132541,King City
09CL,small_airport,Alta Sierra Airport,39.113800048828125,-121.0569992,Grass Valley
09CN,heliport,Tulare Motor Sports #2 Heliport,36.182556,-119.313572,Tulare
0CA2,heliport,VA Greater Los Angeles Health Care Center Heliport,34.049778,-118.456257,Los Angeles
0CA3,small_airport,Crawford Airport,34.587501525878906,-120.0130005,Santa Ynez
0CA4,small_airport,Shepherd Farm Airport,34.6222,-120.065002,Santa Ynez
0CA5,small_airport,Hoffman Private Airport,33.14310073852539,-116.7450027,Santa Ysabel
0CA6,small_airport,Emory Ranch Airport,32.7494444,-116.0161111,Ocotillo
0CA9,small_airport,Blech Ranch Airport,35.592797,-120.338058,Shandon
0CL0,small_airport,Yosemite Hidden Lake Ranch Airport,37.11800003049999,-119.913002,Raymond
0CL1,small_airport,Krey Field Airport,34.56940079,-117.5559998,Adelanto
0CL3,small_airport,John Nichols Field Airport,32.633457,-116.890565,Jamul
0CL4,heliport,Glen Fed Heliport,34.157179,-118.254637,Glendale
0CL5,heliport,The Atrium Heliport,33.67060089,-117.8580017,Irvine
0CL6,small_airport,Bohunk's Airpark,34.694584,-118.277106,Lancaster
0CL7,heliport,Good Samaritan Hospital Heliport,34.054901,-118.264967,Los Angeles
0CL8,small_airport,Tera Ultralightport,35.591104,-117.631323,Ridgecrest
0CL9,heliport,Sce San Jacinto Valley Service Center Heliport,33.741100311299995,-117.151001,Romoland
0CN1,small_airport,Fiorini Ranch Airport,37.452178,-120.764758,Delhi
0CN2,small_airport,Sutter Butte Dusters Airport,39.228622,-121.688265,Live Oak
0O0,seaplane_base,San Luis Reservoir Seaplane Base,37.05830001831055,-121.1259995,Los Banos
0O4,small_airport,Corning Municipal Airport,39.943599700927734,-122.1709976,Corning
0O9,small_airport,Ward Field,41.845699310302734,-123.9850006,Gasquet
0Q3,small_airport,Sonoma Valley Airport,38.223499,-122.449997,Schellville/Sonoma
0Q4,small_airport,Selma Airport,36.581600189208984,-119.6579971,Selma
0Q9,small_airport,Sonoma Skypark Airport,38.257702,-122.433998,Sonoma
10CA,heliport,William E Poole Heliport,34.602292,-117.172462,Apple Valley
10CN,heliport,Adventist Health St Helena Heliport,38.543333,-122.475,St Helena
11CA,small_airport,Turner Field,36.673301696777344,-119.7220001,Fowler
11CL,small_airport,Hansen Airport,34.630001068115234,-117.6529999,Adelanto
11CN,heliport,Shasta Regional Medical Center Heliport,40.585095,-122.387899,Redding
12CA,small_airport,Faber Vineyards Airport,38.10960006713867,-121.1689987,Lodi
12CL,small_airport,Newton Field,36.156898498535156,-119.8499985,Stratford
12CN,small_airport,Richter Airport,39.268306,-122.116689,Maxwell
13CA,heliport,MH15 Heaps Peak US Forest Service Heliport,34.235211,-117.154799,Lake Arrowhead
13CL,small_airport,Maine Prairie Airport,38.38130187988281,-121.8239975,Dixon
14CA,heliport,Hoag Memorial Hospital Heliport,33.625182,-117.930799,Newport Beach
14CL,heliport,Foothill Presbyterian Hospital Heliport,34.133487,-117.870677,Glendora
14L,heliport,Devonshire Area Heliport,34.256882,-118.531352,Los Angeles
15CA,heliport,Stanford Health Care East Heliport,37.435195,-122.174588,Palo Alto
16CA,heliport,Police Pistol Range Heliport,37.719398498535156,-122.4990005,San Francisco
16CL,heliport,Mother Lode Service Center Heliport,38.08466,-120.537945,Angels Camp
17CL,small_airport,Las Trancas Airport,37.088545,-122.273691,Davenport
18CA,heliport,Twin Cities Community Hospital Heliport,35.55500030517578,-120.7190018,Templeton
18CL,small_airport,Bowles Airport,39.2859993,-121.6940002,Live Oak
1C9,small_airport,Frazier Lake Airpark,36.95330047607422,-121.4649963,Hollister
1CA0,heliport,Boeing Santa Susana Heliport,34.237577,-118.696561,Simi Valley
1CA1,small_airport,Belridge Strip,35.467905,-119.72203,McKittrick
1CA3,heliport,GSA Laguna Niguel G/L Helistop,33.561392,-117.715341,Laguna Niguel
1CA5,heliport,California Title Building Heliport,34.12390137,-118.151001,South Pasadena
1CA6,small_airport,On the Rocks Airport,32.765098571777344,-116.7229996,Alpine
1CA7,heliport,L. A. Times Costa Mesa Heliport,33.69390106201172,-117.9169998,Costa Mesa
1CA9,heliport,Los Angeles County Fire Department Heliport,34.083302,-118.867996,Malibu
1CL0,heliport,William Archibald Heliport,34.10449981689453,-117.8000031,San Dimas
1CL1,small_airport,Little Buttes Antique Airfield,34.79410171508789,-118.2779999,Lancaster
1CL2,small_airport,Pontious Airport,34.942501068115234,-118.1699982,Mojave
1CL4,heliport,UCI Medical Center Heliport,33.788562,-117.890416,Orange
1CL5,heliport,Palomar Medical Center Poway Heliport,32.996067,-117.055539,Poway
1CL6,heliport,Lake Park Helistop,38.547698974609375,-121.3799973,Sacramento
1CL8,heliport,Marian Regional Medical Center Heliport,34.950507,-120.411583,Santa Maria
1CL9,heliport,SFI Vernon Heliport,34.001038,-118.212606,Vernon
1CN6,heliport,BTNW PPR Heliport,34.281967,-117.749786,Azusa
1O6,small_airport,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,Dunsmuir
1Q1,small_airport,Eckert Field,36.162498,-119.050003,Strathmore
1Q5,small_airport,Gravelly Valley Airport,39.449902,-122.955002,Potter Valley
20CA,heliport,Clayton Heliport,33.603665,-114.644587,Blythe
20CL,small_airport,Mysterious Valley Airport,38.749298,-122.366997,Pope Valley
21CA,heliport,CRC-Huntington Beach Heliport,33.683833,-118.031778,Huntington Beach
21CL,heliport,Sheriff's Heliport,34.70000076293945,-118.0589981,Lancaster
21CN,heliport,Vermont Corridor County Admin Emergency Helicopter Landing Facility,34.064632,-118.291104,Los Angeles
22CA,seaplane_base,Commodore Center Seaplane Base,37.878893,-122.512697,Mill Valley
22CL,small_airport,Double Tree Farm Airport,39.29990005493164,-121.3590012,Marysville
22CN,heliport,ABC-TV Heliport,34.103466,-118.279366,Los Angeles
23CL,heliport,Los Angeles County Men's Detention Center Main Jail Heliport,34.06144,-118.228068,Los Angeles
24CA,heliport,Mesa Heliport,34.2047,-118.170998,La Cañada Flintridge
24CL,small_airport,Boswell Airport,36.088444,-119.541392,Corcoran
25CA,small_airport,Loma Madera Ranch Airport,33.17919922,-116.7929993,Santa Ysabel
25CL,small_airport,Van Dyke Strip,38.867218,-121.489429,Pleasant Grove
26CA,small_airport,Boeckmann Ranch Airport,38.42689895629883,-121.1719971,Wilton
