STATE,NAME,LAT,LONG                                                                                                 
CA,Acalanes Ridge CDP,37.904725,-122.078567
CA,Acampo CDP,38.173529,-121.279892
CA,Acton CDP,34.49607,-118.183897
CA,Adelanto city,34.580902,-117.439458
CA,Adin CDP,41.199312,-120.956779
CA,Agoura Hills city,34.148942,-118.76393
CA,Agua Dulce CDP,34.501678,-118.32068
CA,Aguanga CDP,33.452246,-116.85547
CA,Ahwahnee CDP,37.365423,-119.716561
CA,Airport CDP,37.633883,-120.972006
CA,Alameda city,37.741911,-122.259914
CA,Alamo CDP,37.854768,-122.013557
CA,Albany city,37.89065,-122.318116
CA,Albion CDP,39.225327,-123.757586
CA,Alderpoint CDP,40.161347,-123.615729
CA,Alhambra city,34.083571,-118.136444
CA,Alhambra Valley CDP,37.966744,-122.135998
CA,Aliso Viejo city,33.57921,-117.728898
CA,Alleghany CDP,39.46666,-120.841126
CA,Allendale CDP,38.442986,-121.98333
CA,Allensworth CDP,35.849878,-119.389209
CA,Almanor CDP,40.214494,-121.17622
CA,Alondra Park CDP,33.890155,-118.335678
CA,Alpaugh CDP,35.889037,-119.485809
CA,Alpine CDP,32.842487,-116.755911
CA,Alpine Village CDP,38.779346,-119.807785
CA,Alta CDP,39.215685,-120.798509
CA,Altadena CDP,34.192212,-118.135589
CA,Alta Sierra CDP,35.725776,-118.545166
CA,Alta Sierra CDP,39.126174,-121.049085
CA,Alto CDP,37.905581,-122.518718
CA,Alturas city,41.489136,-120.551286
CA,Alum Rock CDP,37.369408,-121.823809
CA,Amador City city,38.418994,-120.823263
CA,Amador Pines CDP,38.489631,-120.533305
CA,American Canyon city,38.179033,-122.259602
CA,Amesti CDP,36.959483,-121.781739
CA,Anaheim city,33.855502,-117.758657
CA,Anchor Bay CDP,38.812653,-123.570267
CA,Anderson city,40.449755,-122.29507
CA,Angels city,38.071037,-120.551729
CA,Angwin CDP,38.577875,-122.451224
CA,Antelope CDP,38.71533,-121.360962
CA,Antioch city,37.978336,-121.796064
CA,Anza CDP,33.56159,-116.696066
CA,Apple Valley town,34.533376,-117.210358
CA,Aptos CDP,36.99115,-121.893457
CA,Aptos Hills-Larkin Valley CDP,36.963492,-121.835214
